,c++,c#,python,sql,nosql,database,java,javascript,php,swift,ios,ruby,mining,big data,agile,android,css,html
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 AZ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 BC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 BC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 BC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 BC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
